Symbol,Sector,Daily,Weekly,Monthly
ASHAPURMIN.NS,Minerals & Mining,NO,NO,NO
ASHIANA.NS,Realty,NO,NO,NO
ASHIMASYN.NS,Textiles & Apparels,NO,NO,NO
ASHOKA.NS,Construction,NO,NO,NO
ASHOKAMET.NS,Metals & Minerals Trading,NO,NO,NO
ASHOKLEY.NS,"Agricultural, Commercial & Construction Vehicles",NO,NO,NO
ASHWINI.NS,Transport Services,NO,NO,NO
ASIANENE.NS,Oil,NO,NO,NO
ASIANHOTNR.NS,Leisure Services,NO,NO,NO
ASIANPAINT.NS,Consumer Durables,NO,NO,NO
ASIANTILES.NS,Consumer Durables,NO,NO,NO
ASKAUTOLTD.NS,Auto Components,NO,NO,NO
ASLIND.NS,Auto Components,NO,NO,NO
ASMS.NS,IT - Services,NO,NO,NO
ASPINWALL.NS,Transport Services,NO,NO,NO
ASPIRE.NS,Consumer Durables,NO,NO,NO
ASTEC.NS,Fertilizers & Agrochemicals,NO,NO,NO
ASTERDM.NS,Healthcare Services,NO,NO,NO
ASTRAL.NS,Industrial Products,NO,NO,NO
ASTRAMICRO.NS,Aerospace & Defense,NO,NO,NO
ASTRAZEN.NS,Pharmaceuticals & Biotechnology,NO,NO,NO
ASTRON.NS,"Paper, Forest & Jute Products",NO,NO,NO
ATALREAL.NS,Realty,NO,NO,NO
ATAM.NS,Industrial Manufacturing,NO,NO,NO
ATCENERGY.NS,Electrical Equipment,NO,NO,NO
ATGL.NS,Gas,NO,NO,NO
ATHERENERG.NS,Automobiles,NO,NO,NO
ATL.NS,Transport Infrastructure,NO,NO,NO
ATLANTAA.NS,Construction,NO,NO,NO
ATLANTAELE.NS,Electrical Equipment,NO,NO,NO
ATLASCYCLE.NS,Consumer Durables,NO,NO,NO
ATMASTCO.NS,Construction,NO,NO,NO
ATUL.NS,Chemicals & Petrochemicals,NO,NO,NO
ATULAUTO.NS,"Agricultural, Commercial & Construction Vehicles",NO,NO,NO
AUBANK.NS,Banks,NO,NO,NO
AURIGROW.NS,Industrial Manufacturing,NO,NO,NO
AURIONPRO.NS,IT - Software,NO,NO,NO
AUROIMPEX.NS,Industrial Products,NO,NO,NO
AUROPHARMA.NS,Pharmaceuticals & Biotechnology,NO,NO,NO
AURUM.NS,IT - Services,NO,NO,NO
AUSL.NS,Industrial Products,NO,NO,NO
AUSOMENT.NS,Consumer Durables,NO,NO,NO
AUTOAXLES.NS,Auto Components,NO,NO,NO
AUTOIND.NS,Auto Components,NO,NO,NO
AVADHSUGAR.NS,Agricultural Food & other Products,NO,NO,NO
AVALON.NS,Electrical Equipment,NO,NO,NO
AVANA.NS,Electrical Equipment,NO,NO,NO
AVANTEL.NS,Aerospace & Defense,NO,NO,NO
AVANTIFEED.NS,Food Products,NO,NO,NO
AVG.NS,Transport Services,NO,NO,NO
AVIANSH.NS,Textiles & Apparels,NO,NO,NO
AVL.NS,Retailing,NO,NO,NO
AVONMORE.NS,Finance,NO,NO,NO
AVPINFRA.NS,Construction,NO,NO,NO
AVROIND.NS,Consumer Durables,NO,NO,NO
AVTNPL.NS,Agricultural Food & other Products,NO,NO,NO
AWFIS.NS,Commercial Services & Supplies,NO,NO,NO
AWHCL.NS,Other Utilities,NO,NO,NO
AWL.NS,Agricultural Food & other Products,NO,NO,NO
AXISBANK.NS,Banks,NO,NO,NO
AXISCADES.NS,Aerospace & Defense,NO,NO,NO
AXITA.NS,Textiles & Apparels,NO,NO,NO
AYE.NS,Finance,NO,NO,NO
AYMSYNTEX.NS,Textiles & Apparels,NO,NO,NO
AZAD.NS,Electrical Equipment,NO,NO,NO
BABAFP.NS,Food Products,NO,NO,NO
BAFNAPH.NS,Pharmaceuticals & Biotechnology,NO,NO,NO
BAGDIGITAL.NS,Entertainment,NO,NO,NO
BAGFILMS.NS,Entertainment,NO,NO,NO
BAHETI.NS,Industrial Products,NO,NO,NO
BAIDFIN.NS,Finance,NO,NO,NO
BAJAJ-AUTO.NS,Automobiles,NO,NO,NO
BAJAJCON.NS,Personal Products,NO,NO,NO
BAJAJELEC.NS,Consumer Durables,NO,NO,NO
BAJAJFINSV.NS,Finance,NO,NO,NO
BAJAJHCARE.NS,Pharmaceuticals & Biotechnology,NO,NO,NO
BAJAJHFL.NS,Finance,NO,NO,NO
BAJAJHIND.NS,Agricultural Food & other Products,NO,NO,NO
BAJAJHLDNG.NS,Finance,NO,NO,NO
BAJAJINDEF.NS,Industrial Manufacturing,NO,NO,NO
BAJEL.NS,Electrical Equipment,NO,NO,NO
BAJFINANCE.NS,Finance,NO,NO,NO
BALAJEE.NS,Industrial Products,NO,NO,NO
BALAJIPHOS.NS,Fertilizers & Agrochemicals,NO,NO,NO
BALAJITELE.NS,Entertainment,NO,NO,NO
BALAMINES.NS,Chemicals & Petrochemicals,NO,NO,NO
BALAXI.NS,Pharmaceuticals & Biotechnology,NO,NO,NO
BALCO.NS,Industrial Products,NO,NO,NO
BALKRISHNA.NS,"Paper, Forest & Jute Products",NO,NO,NO
BALKRISIND.NS,Auto Components,NO,NO,NO
BALMLAWRIE.NS,Diversified,NO,NO,NO
BALPHARMA.NS,Pharmaceuticals & Biotechnology,NO,NO,NO
BALRAMCHIN.NS,Agricultural Food & other Products,NO,NO,NO
BALUFORGE.NS,Industrial Products,NO,NO,NO
BANARBEADS.NS,Consumer Durables,NO,NO,NO
BANARISUG.NS,Agricultural Food & other Products,NO,NO,NO
BANCOINDIA.NS,Auto Components,NO,NO,NO
BANDHANBNK.NS,Banks,NO,NO,NO
BANG.NS,Textiles & Apparels,NO,NO,NO
BANKA.NS,Construction,NO,NO,NO
BANKBARODA.NS,Banks,NO,NO,NO
BANKINDIA.NS,Banks,NO,NO,NO
BANSALWIRE.NS,Industrial Products,NO,NO,NO
BANSWRAS.NS,Textiles & Apparels,NO,NO,NO
BARFLEX.NS,Industrial Products,NO,NO,NO
BASF.NS,Chemicals & Petrochemicals,NO,NO,NO
BASILIC.NS,Entertainment,NO,NO,NO
BASML.NS,Textiles & Apparels,NO,NO,NO
BATAINDIA.NS,Consumer Durables,NO,NO,NO
BAWEJA.NS,Entertainment,NO,NO,NO
BAYERCROP.NS,Fertilizers & Agrochemicals,NO,NO,NO
BBL.NS,Electrical Equipment,NO,NO,NO
BBOX.NS,IT - Services,NO,NO,NO
BBTC.NS,Food Products,NO,NO,NO
BBTCL.NS,Industrial Products,NO,NO,NO
BCG.NS,IT - Services,NO,NO,NO
BCLIND.NS,Beverages,NO,NO,NO
BCONCEPTS.NS,Retailing,NO,NO,NO
BCP.NS,Industrial Products,NO,NO,NO
BCPL.NS,Construction,NO,NO,NO
BDL.NS,Aerospace & Defense,NO,NO,NO
BEACON.NS,Capital Markets,NO,NO,NO
BEARDSELL.NS,Industrial Products,NO,NO,NO
BECTORFOOD.NS,Food Products,NO,NO,NO
BEDMUTHA.NS,Industrial Products,NO,NO,NO
BEL.NS,Aerospace & Defense,NO,NO,NO
BELLACASA.NS,Textiles & Apparels,NO,NO,NO
BELRISE.NS,Auto Components,NO,NO,NO
BEML.NS,"Agricultural, Commercial & Construction Vehicles",NO,NO,NO
BEPL.NS,Chemicals & Petrochemicals,NO,NO,NO
BERGEPAINT.NS,Consumer Durables,NO,NO,NO
BESTAGRO.NS,Fertilizers & Agrochemicals,NO,NO,NO
BETA.NS,Pharmaceuticals & Biotechnology,NO,NO,NO
BEWLTD.NS,Industrial Manufacturing,NO,NO,NO
BFINVEST.NS,Finance,NO,NO,NO
BFUTILITIE.NS,Transport Infrastructure,NO,NO,NO
BGLOBAL.NS,IT - Services,NO,NO,NO
BGRENERGY.NS,Construction,NO,NO,NO
BHADORA.NS,Industrial Products,NO,NO,NO
BHAGCHEM.NS,Fertilizers & Agrochemicals,NO,NO,NO
BHAGERIA.NS,Chemicals & Petrochemicals,NO,NO,NO
BHAGYANGR.NS,Non - Ferrous Metals,NO,NO,NO
BHANDARI.NS,Textiles & Apparels,NO,NO,NO
BHARATCOAL.NS,Consumable Fuels,NO,NO,NO
BHARATFORG.NS,Auto Components,NO,NO,NO
BHARATGEAR.NS,Auto Components,NO,NO,NO
BHARATRAS.NS,Fertilizers & Agrochemicals,NO,NO,NO
BHARATSE.NS,Auto Components,NO,NO,NO
BHARATWIRE.NS,Industrial Products,NO,NO,NO
BHARTIARTL.NS,Telecom - Services,NO,NO,NO
BHARTIHEXA.NS,Telecom - Services,NO,NO,NO
BHEL.NS,Electrical Equipment,NO,NO,NO
BIGBLOC.NS,Cement & Cement Products,NO,NO,NO
BIKAJI.NS,Food Products,NO,NO,NO
BIKEWO.NS,Automobiles,NO,NO,NO
BIL.NS,Consumer Durables,NO,NO,NO
BILVYAPAR.NS,Finance,NO,NO,NO
BIOCON.NS,Pharmaceuticals & Biotechnology,NO,NO,NO
BIOFILCHEM.NS,Pharmaceuticals & Biotechnology,NO,NO,NO
BIOPOL.NS,Chemicals & Petrochemicals,NO,NO,NO
BIRDYS.NS,Leisure Services,NO,NO,NO
BIRET.NS,Realty,NO,NO,NO
BIRLACABLE.NS,Telecom - Equipment & Accessories,NO,NO,NO
BIRLACORPN.NS,Cement & Cement Products,NO,NO,NO
BIRLAMONEY.NS,Capital Markets,NO,NO,NO
BIRLANU.NS,Consumer Durables,NO,NO,NO
BLACKBUCK.NS,Transport Services,NO,NO,NO
BLAL.NS,Finance,NO,NO,NO
BLBLIMITED.NS,Finance,NO,NO,NO
BLISSGVS.NS,Pharmaceuticals & Biotechnology,NO,NO,NO
BLKASHYAP.NS,Construction,NO,NO,NO
BLS.NS,Leisure Services,NO,NO,NO
BLSE.NS,IT - Services,NO,NO,NO
BLUECHIP.NS,Finance,NO,NO,NO
BLUECOAST.NS,Leisure Services,NO,NO,NO
BLUEDART.NS,Transport Services,NO,NO,NO
BLUEJET.NS,Pharmaceuticals & Biotechnology,NO,NO,NO
BLUEPEBBLE.NS,Other Consumer Services,NO,NO,NO
BLUESTARCO.NS,Consumer Durables,NO,NO,NO
BLUESTONE.NS,Consumer Durables,NO,NO,NO
BLUEWATER.NS,Transport Services,NO,NO,NO
BLUSPRING.NS,Commercial Services & Supplies,NO,NO,NO
BMETRICS.NS,Commercial Services & Supplies,NO,NO,NO
BMWVENTLTD.NS,Metals & Minerals Trading,NO,NO,NO
BODALCHEM.NS,Chemicals & Petrochemicals,NO,NO,NO
BOHRAIND.NS,Fertilizers & Agrochemicals,NO,NO,NO
BOMDYEING.NS,Textiles & Apparels,NO,NO,NO
BONLON.NS,Diversified Metals,NO,NO,NO
BORANA.NS,Textiles & Apparels,NO,NO,NO
BOROLTD.NS,Consumer Durables,NO,NO,NO
