Symbol,Sector
BIKEWO.NS,Automobiles
BIL.NS,Consumer Durables
BILVYAPAR.NS,Finance
BIOCON.NS,Pharmaceuticals & Biotechnology
BIOFILCHEM.NS,Pharmaceuticals & Biotechnology
BIOPOL.NS,Chemicals & Petrochemicals
BIRDYS.NS,Leisure Services
BIRET.NS,Realty
BIRLACABLE.NS,Telecom - Equipment & Accessories
BIRLACORPN.NS,Cement & Cement Products
BIRLAMONEY.NS,Capital Markets
BIRLANU.NS,Consumer Durables
BLACKBUCK.NS,Transport Services
BLAL.NS,Finance
BLBLIMITED.NS,Finance
BLISSGVS.NS,Pharmaceuticals & Biotechnology
BLKASHYAP.NS,Construction
BLS.NS,Leisure Services
BLSE.NS,IT - Services
BLUECHIP.NS,Finance
BLUECOAST.NS,Leisure Services
BLUEDART.NS,Transport Services
BLUEJET.NS,Pharmaceuticals & Biotechnology
BLUEPEBBLE.NS,Other Consumer Services
BLUESTARCO.NS,Consumer Durables
BLUESTONE.NS,Consumer Durables
BLUEWATER.NS,Transport Services
BLUSPRING.NS,Commercial Services & Supplies
BMETRICS.NS,Commercial Services & Supplies
BMWVENTLTD.NS,Metals & Minerals Trading
BODALCHEM.NS,Chemicals & Petrochemicals
BOHRAIND.NS,Fertilizers & Agrochemicals
BOMDYEING.NS,Textiles & Apparels
BONLON.NS,Diversified Metals
BORANA.NS,Textiles & Apparels
BOROLTD.NS,Consumer Durables
BORORENEW.NS,Industrial Products
BOROSCI.NS,Industrial Products
BOSCH-HCIL.NS,Consumer Durables
BOSCHLTD.NS,Auto Components
BOSS.NS,Industrial Manufacturing
BPCL.NS,Petroleum Products
BPL.NS,Consumer Durables
BRACEPORT.NS,Transport Services
BRANDMAN.NS,Consumer Durables
BRIGADE.NS,Realty
BRIGHOTEL.NS,Leisure Services
BRITANNIA.NS,Food Products
BRNL.NS,Construction
BROOKS.NS,Pharmaceuticals & Biotechnology
BSE.NS,Capital Markets
BSHSL.NS,Agricultural Food & other Products
BSL.NS,Textiles & Apparels
BSOFT.NS,IT - Software
BTML.NS,Entertainment
BUILDPRO.NS,Retailing
BULKCORP.NS,Industrial Products
BUTTERFLY.NS,Consumer Durables
BVCL.NS,Cement & Cement Products
BYKE.NS,Leisure Services
C2C.NS,Aerospace & Defense
CADSYS.NS,Commercial Services & Supplies
CALSOFT.NS,IT - Software
CAMLINFINE.NS,Chemicals & Petrochemicals
CAMPUS.NS,Consumer Durables
CAMS.NS,Capital Markets
CANARYS.NS,IT - Software
CANBK.NS,Banks
CANFINHOME.NS,Finance
CANHLIFE.NS,Insurance
CANTABIL.NS,Textiles & Apparels
CAPACITE.NS,Construction
CAPILLARY.NS,IT - Software
CAPINVIT.NS,Construction
CAPITALSFB.NS,Banks
CAPLIPOINT.NS,Pharmaceuticals & Biotechnology
CAPTRUST.NS,Finance
CARBORUNIV.NS,Industrial Products
CARERATING.NS,Capital Markets
CARRARO.NS,Auto Components
CARTRADE.NS,Retailing
CARYSIL.NS,Consumer Durables
CASTROLIND.NS,Petroleum Products
CBAZAAR.NS,Retailing
CCAVENUE.NS,Financial Technology (Fintech)
CCCL.NS,Realty
CCHHL.NS,Leisure Services
CCL.NS,Agricultural Food & other Products
CDSL.NS,Capital Markets
CEATLTD.NS,Auto Components
CEDAAR.NS,Textiles & Apparels
CEIGALL.NS,Construction
CEINSYS.NS,IT - Software
